"SE","start","end","cases","Rt","Rt2","p1","lwr","upr"
25,"1999-06-21","1999-06-27",21,0.751552795031056,0.749422632794457,0.00843464817007189,0.587533211879872,0.940391889952702
26,"1999-06-28","1999-07-04",19,0.743801652892562,0.741062308478039,0.0160863048497886,0.558488755781459,0.96193109133313
27,"1999-07-05","1999-07-11",29,0.766666666666667,0.76265389876881,0.0472372676109658,0.550238224870705,1.02719142892425
28,"1999-07-12","1999-07-18",18,0.956521739130435,0.947602131438721,0.397814357485194,0.667587941003507,1.30511693999903
29,"1999-07-19","1999-07-25",18,0.984848484848485,0.974953617810761,0.465077669654109,0.683348741884758,1.34902089676587
30,"1999-07-26","1999-08-01",9,0.692307692307692,0.688323917137476,0.0274544088878802,0.461614110851909,0.982441077305945
31,"1999-08-02","1999-08-08",13,0.888888888888889,0.877358490566038,0.292823397360612,0.561430109070625,1.30485150487791
32,"1999-08-09","1999-08-15",8,0.75,0.741691842900302,0.114200112676649,0.449345168960249,1.14661679350587
33,"1999-08-16","1999-08-22",11,1.06666666666667,1.04183266932271,0.60092368634714,0.618557495222999,1.64898715328231
34,"1999-08-23","1999-08-29",19,1.1875,1.15917602996255,0.764815734070927,0.710606479041243,1.79393202201534
35,"1999-08-30","1999-09-05",6,0.947368421052632,0.931746031746032,0.407560617612499,0.577749628569449,1.42213038978083
36,"1999-09-06","1999-09-12",7,0.888888888888889,0.874581939799331,0.312703414470825,0.529831562001215,1.35719180884013
37,"1999-09-13","1999-09-19",8,0.65625,0.649812734082397,0.0631735379069608,0.360247523513932,1.06825612939519
38,"1999-09-20","1999-09-26",9,1.14285714285714,1.10335195530726,0.674206086395542,0.597190931953512,1.87629236837666
39,"1999-09-27","1999-10-03",9,1.08333333333333,1.05172413793103,0.612275172659215,0.587581095880322,1.74399576816808
40,"1999-10-04","1999-10-10",11,1.11538461538462,1.08447488584475,0.658255385882331,0.623194490897482,1.76194280256948
41,"1999-10-11","1999-10-17",10,1.03448275862069,1.01028806584362,0.552158393055204,0.591511618377626,1.61502361410757
42,"1999-10-18","1999-10-24",7,0.933333333333333,0.914342629482072,0.395683213889591,0.531442368467439,1.46587836642066
43,"1999-10-25","1999-10-31",4,0.75,0.738297872340426,0.156163403736635,0.403592636056266,1.23048026647441
44,"1999-11-01","1999-11-07",9,0.952380952380952,0.924581005586592,0.43731465619021,0.483320456551112,1.60277496788092
45,"1999-11-08","1999-11-14",7,1,0.967836257309941,0.5,0.502650303708064,1.68838138434088
46,"1999-11-15","1999-11-21",5,1.05,1.01461988304094,0.56268534380979,0.532094490879031,1.76067540815922
47,"1999-11-22","1999-11-28",12,1.14285714285714,1.10335195530726,0.674206086395542,0.597190931953512,1.87629236837666
48,"1999-11-29","1999-12-05",8,1.04166666666667,1.01231527093596,0.557283251356743,0.56173138522074,1.68521659908482
49,"1999-12-06","1999-12-12",7,1.08,1.04976303317536,0.610116034723462,0.593320590991252,1.72553865986063
50,"1999-12-13","1999-12-19",7,0.814814814814815,0.799559471365639,0.235439506810856,0.439413338347517,1.3307478399932
51,"1999-12-20","1999-12-26",6,0.909090909090909,0.885026737967914,0.377614328752315,0.46543800725509,1.5252643436156
52,"1999-12-27","2000-01-02",19,1.6,1.52923976608187,0.954042725092073,0.860095970996086,2.55172777609126
1,"2000-01-03","2000-01-09",16,1.28125,1.24906367041199,0.855607859792947,0.773286489143975,1.92113260332059
2,"2000-01-10","2000-01-16",27,1.51219512195122,1.47935103244838,0.98146661628072,0.986049588982605,2.14806732012145
3,"2000-01-17","2000-01-23",37,1.29032258064516,1.27317554240631,0.935371168211208,0.904907782234576,1.7468178921015
4,"2000-01-24","2000-01-30",39,1.2875,1.2741935483871,0.95602999429777,0.943984455691535,1.68662471278018
5,"2000-01-31","2000-02-06",33,1.05825242718447,1.05089820359281,0.660167609892473,0.796452822469507,1.36143214536936
6,"2000-02-07","2000-02-13",32,0.954128440366973,0.948471121177803,0.365693377510321,0.718925794006482,1.22756055375725
7,"2000-02-14","2000-02-20",36,0.971153846153846,0.965005931198102,0.416849682592089,0.727556770231029,1.25493411132715
8,"2000-02-21","2000-02-27",35,1.01980198019802,1.01282051282051,0.555794675524527,0.7632897648384,1.31812650814358
9,"2000-02-28","2000-03-05",28,0.961165048543689,0.955089820359281,0.388960350187642,0.718476811574759,1.24432386143012
10,"2000-03-06","2000-03-12",48,1.12121212121212,1.11270236612702,0.796717089573959,0.84213132110099,1.44391410777304
11,"2000-03-13","2000-03-19",49,1.12612612612613,1.11846496106785,0.819432281549556,0.860252279423618,1.43105861528267
12,"2000-03-20","2000-03-26",73,1.36,1.35064292779426,0.995716530772995,1.06684072719675,1.6897629247275
13,"2000-03-27","2000-04-02",96,1.28235294117647,1.27607585703866,0.992708918534292,1.04002404588931,1.55130627833489
14,"2000-04-03","2000-04-09",95,1.21100917431193,1.20655270655271,0.982076472164461,1.00502900778431,1.43749830443967
15,"2000-04-10","2000-04-16",100,1.10227272727273,1.09915214319359,0.874345191859757,0.92757632290854,1.29352561615121
16,"2000-04-17","2000-04-23",115,1.06529209621993,1.06263360410432,0.781015839992512,0.902861015625279,1.24262857128169
17,"2000-04-24","2000-04-30",160,1.20967741935484,1.2065435568045,0.993557090508141,1.03549262501777,1.3983336693025
18,"2000-05-01","2000-05-07",144,1.11733333333333,1.11507804716041,0.940941060989815,0.967915828901314,1.27848142634583
19,"2000-05-08","2000-05-14",174,1.14081145584726,1.13871543264942,0.975671281002755,0.996797903673614,1.29538858926436
20,"2000-05-15","2000-05-21",183,1.04811715481172,1.04654498044329,0.76896118322101,0.921556136905432,1.18374682809344
21,"2000-05-22","2000-05-28",137,0.986027944111776,0.98469768599154,0.412153518487671,0.867970064504065,1.1126134597357
22,"2000-05-29","2000-06-04",109,0.868421052631579,0.86739843552864,0.016122703134497,0.760479403144067,0.984767027542493
23,"2000-06-05","2000-06-11",78,0.755244755244755,0.754429276793494,6.28348922739885e-05,0.651178810287727,0.868712249760015
24,"2000-06-12","2000-06-18",72,0.799382716049383,0.798117556665386,0.00350086454042753,0.675381013498654,0.935950711551639
25,"2000-06-19","2000-06-25",47,0.760617760617761,0.759241478636582,0.00180369999413066,0.627852957507469,0.908924489948168
26,"2000-06-26","2000-07-02",28,0.746192893401015,0.744486452425961,0.00342652717751024,0.597528492454014,0.915163628758248
27,"2000-07-03","2000-07-09",29,0.707482993197279,0.705560235888795,0.00321101230406928,0.544063866526908,0.897754827816718
28,"2000-07-10","2000-07-16",19,0.730769230769231,0.727758007117438,0.0180350804804816,0.53506872306274,0.964419622090456
29,"2000-07-17","2000-07-23",19,0.881578947368421,0.874798061389338,0.225103996174616,0.621834906169566,1.19473503648369
30,"2000-07-24","2000-07-30",18,0.835820895522388,0.829067641681901,0.159654148737622,0.572542286407097,1.15880781774221
