"SE","start","end","cases","Rt","p1","lwr","upr"
201333,"2013-08-11","2013-08-17",43,0.904522613065327,0.164224158504801,0.733376916424252,1.09656869254518
201334,"2013-08-18","2013-08-24",53,0.855555555555556,0.0770557628922826,0.683711184343213,1.05020666975426
201335,"2013-08-25","2013-08-31",35,0.850649350649351,0.0861039752586854,0.666794400585924,1.06107294801127
201336,"2013-09-01","2013-09-07",46,1.02290076335878,0.573221008359481,0.794479043205292,1.28376426994545
201337,"2013-09-08","2013-09-14",54,1.00746268656716,0.52434655647992,0.784080932244651,1.26246030066885
201338,"2013-09-15","2013-09-21",39,1.02962962962963,0.595618076569752,0.803175912054473,1.28763054694163
201339,"2013-09-22","2013-09-28",63,1.12230215827338,0.839268053088973,0.883135613529315,1.39278009414335
201340,"2013-09-29","2013-10-05",46,0.948717948717949,0.322941997610296,0.749950415533447,1.17434070593606
201341,"2013-10-06","2013-10-12",44,1.03378378378378,0.613556728454699,0.816028061694433,1.2803901245929
201342,"2013-10-13","2013-10-19",47,0.895424836601307,0.173315480865563,0.703624355493927,1.11425444024887
201343,"2013-10-20","2013-10-26",58,1.08759124087591,0.761369496701844,0.852742164585418,1.35395114848257
201344,"2013-10-27","2013-11-02",54,1.06711409395973,0.715873048661622,0.844551234030025,1.31855802621281
201345,"2013-11-03","2013-11-09",38,0.943396226415094,0.304073712413095,0.747224843070995,1.16589062652968
201346,"2013-11-10","2013-11-16",42,0.893333333333333,0.170783602577207,0.700126285228907,1.11408790432653
201347,"2013-11-17","2013-11-23",65,1.08208955223881,0.745252244077842,0.845785129409908,1.35055648959311
201348,"2013-11-24","2013-11-30",88,1.3448275862069,0.996735066881101,1.07362308086995,1.64758359639915
201349,"2013-12-01","2013-12-07",92,1.25641025641026,0.991541476991802,1.0328638638646,1.50308360953729
201350,"2013-12-08","2013-12-14",62,0.987755102040816,0.445887006114087,0.821606035310609,1.17126029473483
